epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,245.358,0.61376,0.39418,0.93083,0.95567,0.94675,0.976,0.68248,0.84014,0.48954,1.00068,0.000608468,0.000608468,0.000608468
60,249.561,0.60648,0.38363,0.92867,0.95465,0.94487,0.97495,0.65772,0.85565,0.49365,1.01111,0.000594321,0.000594321,0.000594321
61,253.708,0.61691,0.38816,0.94533,0.96893,0.92761,0.97458,0.65719,0.87647,0.52787,1.0206,0.000580174,0.000580174,0.000580174
62,257.873,0.60983,0.38242,0.92319,0.95027,0.94808,0.97436,0.66207,0.87699,0.49401,1.02029,0.000566027,0.000566027,0.000566027
63,262.029,0.5908,0.38205,0.92308,0.97616,0.9165,0.97332,0.67866,0.86507,0.48809,1.01538,0.00055188,0.00055188,0.00055188
64,266.324,0.60517,0.39118,0.93378,0.9644,0.94139,0.98008,0.70516,0.89993,0.49217,1.04438,0.000537733,0.000537733,0.000537733
65,270.664,0.5951,0.37428,0.92359,0.95951,0.91902,0.97268,0.69909,0.88385,0.53613,1.03154,0.000523586,0.000523586,0.000523586
66,274.851,0.58615,0.37467,0.93015,0.95593,0.93353,0.97548,0.7195,0.84224,0.49696,1.00702,0.000509438,0.000509438,0.000509438
67,279.05,0.56833,0.36029,0.91284,0.96183,0.94329,0.98134,0.70097,0.84029,0.47072,1.00091,0.000495291,0.000495291,0.000495291
68,283.259,0.57601,0.36831,0.92213,0.96012,0.87677,0.96481,0.70328,0.85358,0.53865,1.01126,0.000481144,0.000481144,0.000481144
69,287.462,0.59134,0.36876,0.92689,0.95576,0.89635,0.95026,0.67804,0.84821,0.59252,1.02771,0.000466997,0.000466997,0.000466997
70,291.637,0.55964,0.35742,0.9069,0.95039,0.86324,0.95584,0.66783,0.84339,0.47933,1.01175,0.00045285,0.00045285,0.00045285
71,295.811,0.56609,0.36525,0.92625,0.97983,0.83101,0.95667,0.6657,0.84491,0.46974,1.0157,0.000438703,0.000438703,0.000438703
72,300.004,0.58942,0.36845,0.93007,0.97908,0.92863,0.97778,0.71201,0.81918,0.45289,0.99778,0.000424556,0.000424556,0.000424556
73,304.157,0.56528,0.35867,0.91789,0.95054,0.90343,0.9767,0.72536,0.8145,0.45911,0.99062,0.000410409,0.000410409,0.000410409
74,308.38,0.56626,0.35723,0.91234,0.96609,0.90216,0.97557,0.71567,0.8307,0.46011,1.00893,0.000396262,0.000396262,0.000396262
75,312.529,0.55369,0.34751,0.90525,0.97612,0.9117,0.97386,0.71529,0.83233,0.46321,0.99811,0.000382115,0.000382115,0.000382115
76,316.737,0.55754,0.35121,0.91792,0.97881,0.91229,0.96793,0.72465,0.81807,0.46488,0.98769,0.000367967,0.000367967,0.000367967
77,320.876,0.54547,0.34975,0.90779,0.9819,0.92878,0.97838,0.72808,0.82558,0.42919,0.98812,0.00035382,0.00035382,0.00035382
78,325.053,0.53171,0.33836,0.89701,0.97931,0.93393,0.98101,0.72406,0.81427,0.42483,0.98557,0.000339673,0.000339673,0.000339673
79,329.215,0.55655,0.34347,0.90926,0.97877,0.92447,0.98222,0.73077,0.79921,0.43776,0.98181,0.000325526,0.000325526,0.000325526
80,333.393,0.54282,0.34294,0.90996,0.97759,0.92643,0.97995,0.73685,0.81677,0.46639,0.99003,0.000311379,0.000311379,0.000311379
81,337.77,0.52816,0.34149,0.89916,0.98125,0.92963,0.9825,0.74581,0.78394,0.41506,0.97195,0.000297232,0.000297232,0.000297232
82,342.014,0.52232,0.32724,0.8996,0.97872,0.93914,0.98276,0.72559,0.78319,0.40718,0.97467,0.000283085,0.000283085,0.000283085
83,346.213,0.51205,0.32527,0.89877,0.98058,0.93302,0.9792,0.7356,0.76959,0.42251,0.96438,0.000268938,0.000268938,0.000268938
84,350.355,0.50324,0.32882,0.88634,0.97366,0.93941,0.97661,0.7194,0.77916,0.43741,0.97449,0.000254791,0.000254791,0.000254791
85,354.534,0.52112,0.33301,0.90152,0.98062,0.93021,0.97749,0.73665,0.76986,0.42562,0.96933,0.000240644,0.000240644,0.000240644
86,358.767,0.50653,0.32752,0.89254,0.982,0.92594,0.97859,0.74853,0.75384,0.42146,0.96154,0.000226497,0.000226497,0.000226497
87,362.982,0.51782,0.32735,0.90358,0.98337,0.9323,0.97836,0.74856,0.79526,0.42749,0.97862,0.000212349,0.000212349,0.000212349
