epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,179.336,0.65496,0.41007,0.89346,0.94484,0.81985,0.90498,0.62992,0.84442,0.50481,0.96616,0.000367967,0.000367967,0.000367967
77,181.592,0.62584,0.40627,0.88626,0.9655,0.81095,0.89563,0.62446,0.85533,0.51752,0.96584,0.00035382,0.00035382,0.00035382
78,183.812,0.63642,0.40137,0.88176,0.97047,0.81541,0.89116,0.65655,0.84249,0.51525,0.95982,0.000339673,0.000339673,0.000339673
79,186.023,0.63411,0.40432,0.87826,0.96384,0.81764,0.88972,0.63973,0.84707,0.52516,0.96913,0.000325526,0.000325526,0.000325526
80,188.249,0.64193,0.40863,0.87832,0.96099,0.81932,0.8979,0.63101,0.87532,0.51272,0.97812,0.000311379,0.000311379,0.000311379
81,190.438,0.60743,0.3825,0.87413,0.97626,0.80743,0.89373,0.64836,0.85234,0.50632,0.97177,0.000297232,0.000297232,0.000297232
82,192.638,0.61701,0.39244,0.88004,0.97938,0.81138,0.89493,0.65183,0.83886,0.48337,0.96971,0.000283085,0.000283085,0.000283085
83,194.856,0.60245,0.39344,0.87006,0.95714,0.80402,0.89087,0.65138,0.84074,0.50938,0.96528,0.000268938,0.000268938,0.000268938
84,197.09,0.617,0.38968,0.87627,0.98542,0.81281,0.89565,0.66351,0.83674,0.48264,0.9639,0.000254791,0.000254791,0.000254791
85,199.319,0.60943,0.397,0.87441,0.97758,0.82229,0.89682,0.66733,0.86258,0.48739,0.97597,0.000240644,0.000240644,0.000240644
86,201.543,0.62317,0.3891,0.8752,0.98173,0.8164,0.89286,0.6667,0.83845,0.48452,0.96587,0.000226497,0.000226497,0.000226497
87,203.748,0.6157,0.38236,0.87877,0.97906,0.81264,0.89937,0.69221,0.83839,0.49917,0.96935,0.000212349,0.000212349,0.000212349
88,205.959,0.6045,0.37847,0.87439,0.983,0.81153,0.90452,0.67993,0.81966,0.48029,0.95611,0.000198202,0.000198202,0.000198202
89,208.174,0.60525,0.37918,0.87725,0.97118,0.81569,0.89788,0.68236,0.82739,0.48867,0.95992,0.000184055,0.000184055,0.000184055
90,210.36,0.57848,0.36299,0.86906,0.97727,0.81933,0.89638,0.67686,0.81071,0.47287,0.95045,0.000169908,0.000169908,0.000169908
91,224.996,0.61654,0.41218,0.87863,0.95492,0.8109,0.89875,0.63803,0.82016,0.51119,0.95224,0.000155761,0.000155761,0.000155761
92,227.236,0.60583,0.3856,0.88381,0.96571,0.81559,0.91511,0.61989,0.84517,0.51458,0.97276,0.000141614,0.000141614,0.000141614
93,229.545,0.59121,0.37531,0.86831,0.96821,0.82383,0.9402,0.63945,0.83453,0.49691,0.96691,0.000127467,0.000127467,0.000127467
94,231.788,0.59049,0.36579,0.87103,0.96699,0.82752,0.94049,0.64597,0.86291,0.49135,0.97686,0.00011332,0.00011332,0.00011332
95,234.04,0.57796,0.36377,0.86602,0.96991,0.82123,0.95462,0.63452,0.83699,0.48025,0.96724,9.91726e-05,9.91726e-05,9.91726e-05
96,236.313,0.58177,0.36001,0.87512,0.97444,0.81161,0.94275,0.63584,0.84952,0.49829,0.97167,8.50255e-05,8.50255e-05,8.50255e-05
97,238.559,0.57797,0.35721,0.86081,0.97105,0.80477,0.93323,0.62247,0.83333,0.50275,0.96641,7.08784e-05,7.08784e-05,7.08784e-05
98,240.809,0.57027,0.35867,0.8596,0.97233,0.80555,0.91683,0.6165,0.83664,0.50703,0.9696,5.67313e-05,5.67313e-05,5.67313e-05
99,243.076,0.56274,0.35503,0.86914,0.97726,0.80675,0.92027,0.61986,0.82758,0.49799,0.96454,4.25842e-05,4.25842e-05,4.25842e-05
100,245.352,0.57685,0.35824,0.86398,0.9735,0.81093,0.92092,0.62891,0.81826,0.492,0.95995,2.84371e-05,2.84371e-05,2.84371e-05
